price_day_person,location,capacity,bedroom_num,beds_num
27€ pers./noche (aprox),Grado,"2 - 
  7 personas",3 dormitorios,5 camas
19€ pers./noche (aprox),Llanes,"8 - 
  10 personas",4 dormitorios,9 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  24 personas",24 camas,22€ pers./noche (aprox)
33€ pers./noche (aprox),Belmonte de Miranda,"2 - 
  36 personas",16 dormitorios,25 camas
23€ pers./noche (aprox),Villaviciosa,"2 - 
  16 personas",8 dormitorios,13 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  21 personas",16 dormitorios,16 camas
22€ pers./noche (aprox),Cabrales,6 personas,3 camas,22€ pers./noche (aprox)
30€ pers./noche (aprox),Llanes,"8 - 
  20 personas",10 dormitorios,16 camas
23€ pers./noche (aprox),Coaña,"2 - 
  25 personas",9 dormitorios,18 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  14 personas",2 dormitorios,9 camas
25€ pers./noche (aprox),Cangas de Onís,"6 - 
  14 personas",6 dormitorios,13 camas
26€ pers./noche (aprox),Cangas de Onís,"4 - 
  18 personas",8 dormitorios,14 camas
20€ pers./noche (aprox),Valdés,"5 - 
  10 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  10 personas",3 dormitorios,7 camas
22€ pers./noche (aprox),Nava,"2 - 
  3 personas",2 dormitorios,2 camas
37€ pers./noche (aprox),Ribadesella,"2 - 
  22 personas",8 dormitorios,19 camas
17€ pers./noche (aprox),Piloña,"4 - 
  11 personas",4 dormitorios,8 camas
35€ pers./noche (aprox),Valdés,"2 - 
  14 personas",5 dormitorios,11 camas
23€ pers./noche (aprox),Ribadesella,"2 - 
  8 personas",3 dormitorios,7 camas
16€ pers./noche (aprox),Llanes,"4 - 
  12 personas",6 dormitorios,16 camas
27€ pers./noche (aprox),Grado,"2 - 
  7 personas",3 dormitorios,5 camas
19€ pers./noche (aprox),Llanes,"8 - 
  10 personas",4 dormitorios,9 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  24 personas",24 camas,22€ pers./noche (aprox)
33€ pers./noche (aprox),Belmonte de Miranda,"2 - 
  36 personas",16 dormitorios,25 camas
23€ pers./noche (aprox),Villaviciosa,"2 - 
  16 personas",8 dormitorios,13 camas
22€ pers./noche (aprox),Cangas de Onís,"2 - 
  21 personas",16 dormitorios,16 camas
22€ pers./noche (aprox),Cabrales,6 personas,3 camas,22€ pers./noche (aprox)
30€ pers./noche (aprox),Llanes,"8 - 
  20 personas",10 dormitorios,16 camas
23€ pers./noche (aprox),Coaña,"2 - 
  25 personas",9 dormitorios,18 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  14 personas",2 dormitorios,9 camas
25€ pers./noche (aprox),Cangas de Onís,"6 - 
  14 personas",6 dormitorios,13 camas
26€ pers./noche (aprox),Cangas de Onís,"4 - 
  18 personas",8 dormitorios,14 camas
20€ pers./noche (aprox),Valdés,"5 - 
  10 personas",3 dormitorios,6 camas
23€ pers./noche (aprox),Cangas de Onís,"2 - 
  10 personas",3 dormitorios,7 camas
22€ pers./noche (aprox),Nava,"2 - 
  3 personas",2 dormitorios,2 camas
37€ pers./noche (aprox),Ribadesella,"2 - 
  22 personas",8 dormitorios,19 camas
17€ pers./noche (aprox),Piloña,"4 - 
  11 personas",4 dormitorios,8 camas
35€ pers./noche (aprox),Valdés,"2 - 
  14 personas",5 dormitorios,11 camas
23€ pers./noche (aprox),Ribadesella,"2 - 
  8 personas",3 dormitorios,7 camas
16€ pers./noche (aprox),Llanes,"4 - 
  12 personas",6 dormitorios,16 camas
