,price_day_person,location,capacity,bedroom_num,beds_num
0,36€ pers./noche (aprox),San Vicente de la Barquera,"1 - 
  26 personas",13 camas,36€ pers./noche (aprox)
1,26€ pers./noche (aprox),Torices,"2 - 
  63 personas",46 camas,26€ pers./noche (aprox)
2,52€ pers./noche (aprox),Potes,"2 - 
  74 personas",31 dormitorios,45 camas
3,23€ pers./noche (aprox),Orzales,"6 - 
  20 personas",9 dormitorios,15 camas
4,18€ pers./noche (aprox),La Cavada,"2 - 
  21 personas",7 dormitorios,16 camas
5,33€ pers./noche (aprox),Langre,Íntegro o habitaciones,"2 - 
  42 personas",14 dormitorios
6,24€ pers./noche (aprox),Naveda,"1 - 
  33 personas",11 dormitorios,28 camas
7,33€ pers./noche (aprox),Somo,"2 - 
  6 personas",3 dormitorios,6 camas
8,18€ pers./noche (aprox),Arnuero,23 personas,5 dormitorios,20 camas
9,27€ pers./noche (aprox),Santillana del Mar,"2 - 
  36 personas",15 dormitorios,28 camas
10,26€ pers./noche (aprox),Frama,"2 - 
  16 personas",5 dormitorios,16 camas
11,19€ pers./noche (aprox),Soba,"1 - 
  53 personas",1 dormitorio,42 camas
12,21€ pers./noche (aprox),Hazas de Cesto,"1 - 
  21 personas",8 dormitorios,19 camas
13,30€ pers./noche (aprox),San Vicente del Monte,"2 - 
  16 personas",8 dormitorios,13 camas
14,17€ pers./noche (aprox),Selaya,"2 - 
  12 personas",4 dormitorios,10 camas
15,17€ pers./noche (aprox),Cucayo,"2 - 
  29 personas",9 dormitorios,27 camas
16,36€ pers./noche (aprox),Liendo,"2 - 
  11 personas",5 dormitorios,8 camas
17,22€ pers./noche (aprox),Entrambasaguas,"6 - 
  12 personas",6 dormitorios,11 camas
18,20€ pers./noche (aprox),Corvera de Toranzo,"6 - 
  8 personas",3 dormitorios,7 camas
19,28€ pers./noche (aprox),Pedreña,"2 - 
  13 personas",24 dormitorios,11 camas
20,36€ pers./noche (aprox),San Vicente de la Barquera,"1 - 
  26 personas",13 camas,36€ pers./noche (aprox)
21,26€ pers./noche (aprox),Torices,"2 - 
  63 personas",46 camas,26€ pers./noche (aprox)
22,52€ pers./noche (aprox),Potes,"2 - 
  74 personas",31 dormitorios,45 camas
23,23€ pers./noche (aprox),Orzales,"6 - 
  20 personas",9 dormitorios,15 camas
24,18€ pers./noche (aprox),La Cavada,"2 - 
  21 personas",7 dormitorios,16 camas
25,33€ pers./noche (aprox),Langre,Íntegro o habitaciones,"2 - 
  42 personas",14 dormitorios
26,24€ pers./noche (aprox),Naveda,"1 - 
  33 personas",11 dormitorios,28 camas
27,33€ pers./noche (aprox),Somo,"2 - 
  6 personas",3 dormitorios,6 camas
28,18€ pers./noche (aprox),Arnuero,23 personas,5 dormitorios,20 camas
29,27€ pers./noche (aprox),Santillana del Mar,"2 - 
  36 personas",15 dormitorios,28 camas
30,26€ pers./noche (aprox),Frama,"2 - 
  16 personas",5 dormitorios,16 camas
31,19€ pers./noche (aprox),Soba,"1 - 
  53 personas",1 dormitorio,42 camas
32,21€ pers./noche (aprox),Hazas de Cesto,"1 - 
  21 personas",8 dormitorios,19 camas
33,30€ pers./noche (aprox),San Vicente del Monte,"2 - 
  16 personas",8 dormitorios,13 camas
34,17€ pers./noche (aprox),Selaya,"2 - 
  12 personas",4 dormitorios,10 camas
35,17€ pers./noche (aprox),Cucayo,"2 - 
  29 personas",9 dormitorios,27 camas
36,36€ pers./noche (aprox),Liendo,"2 - 
  11 personas",5 dormitorios,8 camas
37,22€ pers./noche (aprox),Entrambasaguas,"6 - 
  12 personas",6 dormitorios,11 camas
38,20€ pers./noche (aprox),Corvera de Toranzo,"6 - 
  8 personas",3 dormitorios,7 camas
39,28€ pers./noche (aprox),Pedreña,"2 - 
  13 personas",24 dormitorios,11 camas
40,28€ pers./noche (aprox),Villacarriedo,"1 - 
  10 personas",4 dormitorios,8 camas
41,30€ pers./noche (aprox),Isla,Íntegro o habitaciones,"1 - 
  32 personas",9 dormitorios
42,20€ pers./noche (aprox),Selaya,"4 - 
  11 personas",5 dormitorios,11 camas
43,33€ pers./noche (aprox),Viérnoles,Íntegro o habitaciones,"2 - 
  24 personas",8 dormitorios
44,25€ pers./noche (aprox),Santillana del Mar,"2 - 
  30 personas",13 dormitorios,25 camas
45,21€ pers./noche (aprox),Oreña,"2 - 
  8 personas",4 dormitorios,8 camas
46,16€ pers./noche (aprox),Selaya,10 personas,5 dormitorios,7 camas
47,28€ pers./noche (aprox),Camijanes,"2 - 
  104 personas",2 dormitorios,72 camas
48,15€ pers./noche (aprox),Obeso,"8 - 
  16 personas",7 dormitorios,11 camas
49,35€ pers./noche (aprox),Solares,"2 - 
  26 personas",21 camas,35€ pers./noche (aprox)
50,26€ pers./noche (aprox),Roiz,"2 - 
  17 personas",7 dormitorios,13 camas
51,15€ pers./noche (aprox),Obeso,"8 - 
  16 personas",7 dormitorios,11 camas
52,15€ pers./noche (aprox),Selaya,17 personas,7 dormitorios,11 camas
53,29€ pers./noche (aprox),Puente Viesgo,12 personas,4 dormitorios,12 camas
54,16€ pers./noche (aprox),Santiurde de Toranzo,"4 - 
  12 personas",6 dormitorios,6 camas
55,20€ pers./noche (aprox),Abionzo,"2 - 
  12 personas",6 dormitorios,10 camas
56,26€ pers./noche (aprox),Santillana del Mar,"2 - 
  31 personas",10 dormitorios,23 camas
57,20€ pers./noche (aprox),Oreña,"2 - 
  18 personas",5 dormitorios,13 camas
58,38€ pers./noche (aprox),San Vicente de la Barquera,"1 - 
  24 personas",12 dormitorios,23 camas
59,26€ pers./noche (aprox),Cabezón de Liébana,"2 - 
  27 personas",26 dormitorios,23 camas
60,41€ pers./noche (aprox),Somo,Íntegro o habitaciones,"22 - 
  13 personas",10 dormitorios
61,34€ pers./noche (aprox),Limpias,"1 - 
  28 personas",8 dormitorios,24 camas
