,price_day_person,location,capacity,bedroom_num,beds_num
0,26€ pers./noche (aprox),Ziga,"2 - 
  10 personas",4 dormitorios,8 camas
1,17€ pers./noche (aprox),Arraioz,"18 - 
  28 personas",28 camas,17€ pers./noche (aprox)
2,23€ pers./noche (aprox),Urra,"8 - 
  21 personas",10 dormitorios,15 camas
3,35€ pers./noche (aprox),Marcilla,"10 - 
  15 personas",14 camas,35€ pers./noche (aprox)
4,20€ pers./noche (aprox),Elizondo,"2 - 
  17 personas",15 camas,20€ pers./noche (aprox)
5,33€ pers./noche (aprox),Luzaide/Valcarlos,Íntegro o habitaciones,"2 - 
  34 personas",14 dormitorios
6,18€ pers./noche (aprox),Azpilkueta,"2 - 
  10 personas",4 dormitorios,8 camas
7,19€ pers./noche (aprox),Villatuerta,"1 - 
  15 personas",6 dormitorios,12 camas
8,23€ pers./noche (aprox),San Martín de Améscoa,"8 - 
  10 personas",4 dormitorios,10 camas
9,21€ pers./noche (aprox),Dicastillo,"16 - 
  25 personas",9 dormitorios,18 camas
10,24€ pers./noche (aprox),Arruitz,"8 - 
  28 personas",8 dormitorios,18 camas
11,13€ pers./noche (aprox),Azpilkueta,"4 - 
  10 personas",4 dormitorios,9 camas
12,24€ pers./noche (aprox),Oteiza,"2 - 
  14 personas",6 dormitorios,12 camas
13,25€ pers./noche (aprox),Erratzu,18 personas,8 dormitorios,10 camas
14,32€ pers./noche (aprox),Ardanaz,"12 - 
  18 personas",6 dormitorios,14 camas
15,20€ pers./noche (aprox),Aniz,Íntegro o habitaciones,"6 - 
  14 personas",7 dormitorios
16,26€ pers./noche (aprox),Urdiain,"2 - 
  16 personas",10 dormitorios,13 camas
17,35€ pers./noche (aprox),Lekunberri,"8 - 
  10 personas",4 dormitorios,8 camas
18,30€ pers./noche (aprox),Lesaka,"2 - 
  8 personas",2 dormitorios,6 camas
19,28€ pers./noche (aprox),Arbizu,14 personas,8 dormitorios,11 camas
20,26€ pers./noche (aprox),Ziga,"2 - 
  10 personas",4 dormitorios,8 camas
21,17€ pers./noche (aprox),Arraioz,"18 - 
  28 personas",28 camas,17€ pers./noche (aprox)
22,23€ pers./noche (aprox),Urra,"8 - 
  21 personas",10 dormitorios,15 camas
23,35€ pers./noche (aprox),Marcilla,"10 - 
  15 personas",14 camas,35€ pers./noche (aprox)
24,20€ pers./noche (aprox),Elizondo,"2 - 
  17 personas",15 camas,20€ pers./noche (aprox)
25,33€ pers./noche (aprox),Luzaide/Valcarlos,Íntegro o habitaciones,"2 - 
  34 personas",14 dormitorios
