,price_day_person,location,capacity,bedroom_num,beds_num
0,31€ pers./noche (aprox),Gopegi,Íntegro o habitaciones,16 personas,8 dormitorios
1,32€ pers./noche (aprox),Muxika,Íntegro o habitaciones,"1 - 
  24 personas",8 dormitorios
2,30€ pers./noche (aprox),Zumaia,Íntegro o habitaciones,"1 - 
  21 personas",10 dormitorios
3,41€ pers./noche (aprox),Oiartzun,"1 - 
  6 personas",3 dormitorios,5 camas
4,26€ pers./noche (aprox),Getaria,"2 - 
  19 personas",8 dormitorios,15 camas
5,25€ pers./noche (aprox),Karkamu,"6 - 
  10 personas",5 dormitorios,8 camas
6,37€ pers./noche (aprox),Zarautz,Íntegro o habitaciones,"2 - 
  10 personas",4 dormitorios
7,41€ pers./noche (aprox),Zarautz,12 personas,6 dormitorios,6 camas
8,64€ pers./noche (aprox),Oiartzun,Íntegro o habitaciones,"1 - 
  38 personas",3 dormitorios
9,16€ pers./noche (aprox),Luyando,"8 - 
  16 personas",9 dormitorios,14 camas
10,31€ pers./noche (aprox),Mallabia,Íntegro o habitaciones,"1 - 
  15 personas",7 dormitorios
11,23€ pers./noche (aprox),Narbaiza,"4 - 
  29 personas",20 camas,23€ pers./noche (aprox)
12,25€ pers./noche (aprox),Narbaiza,"3 - 
  22 personas",17 camas,25€ pers./noche (aprox)
13,35€ pers./noche (aprox),Samaniego,"1 - 
  23 personas",7 dormitorios,17 camas
14,20€ pers./noche (aprox),Urduña/Orduña,"2 - 
  12 personas",5 dormitorios,9 camas
15,25€ pers./noche (aprox),Aia,Íntegro o habitaciones,"1 - 
  22 personas",6 dormitorios
16,37€ pers./noche (aprox),Pobes,"2 - 
  13 personas",6 dormitorios,11 camas
17,28€ pers./noche (aprox),Lukiano,"2 - 
  23 personas",14 dormitorios,20 camas
18,29€ pers./noche (aprox),Getaria,Íntegro o habitaciones,"2 - 
  25 personas",8 dormitorios
19,24€ pers./noche (aprox),Baroja,"1 - 
  32 personas",10 dormitorios,30 camas
20,31€ pers./noche (aprox),Gopegi,Íntegro o habitaciones,16 personas,8 dormitorios
21,32€ pers./noche (aprox),Muxika,Íntegro o habitaciones,"1 - 
  24 personas",8 dormitorios
22,30€ pers./noche (aprox),Zumaia,Íntegro o habitaciones,"1 - 
  21 personas",10 dormitorios
23,41€ pers./noche (aprox),Oiartzun,"1 - 
  6 personas",3 dormitorios,5 camas
24,26€ pers./noche (aprox),Getaria,"2 - 
  19 personas",8 dormitorios,15 camas
25,25€ pers./noche (aprox),Karkamu,"6 - 
  10 personas",5 dormitorios,8 camas
26,37€ pers./noche (aprox),Zarautz,Íntegro o habitaciones,"2 - 
  10 personas",4 dormitorios
27,41€ pers./noche (aprox),Zarautz,12 personas,6 dormitorios,6 camas
28,64€ pers./noche (aprox),Oiartzun,Íntegro o habitaciones,"1 - 
  38 personas",3 dormitorios
29,16€ pers./noche (aprox),Luyando,"8 - 
  16 personas",9 dormitorios,14 camas
30,31€ pers./noche (aprox),Mallabia,Íntegro o habitaciones,"1 - 
  15 personas",7 dormitorios
31,23€ pers./noche (aprox),Narbaiza,"4 - 
  29 personas",20 camas,23€ pers./noche (aprox)
32,25€ pers./noche (aprox),Narbaiza,"3 - 
  22 personas",17 camas,25€ pers./noche (aprox)
33,35€ pers./noche (aprox),Samaniego,"1 - 
  23 personas",7 dormitorios,17 camas
34,20€ pers./noche (aprox),Urduña/Orduña,"2 - 
  12 personas",5 dormitorios,9 camas
35,25€ pers./noche (aprox),Aia,Íntegro o habitaciones,"1 - 
  22 personas",6 dormitorios
36,37€ pers./noche (aprox),Pobes,"2 - 
  13 personas",6 dormitorios,11 camas
