,price_day_person,location,capacity,bedroom_num,beds_num
0,51€ pers./noche (aprox),Belsierre,"1 - 
  71 personas",29 dormitorios,54 camas
1,18€ pers./noche (aprox),Panzano,"8 - 
  22 personas",9 dormitorios,18 camas
2,19€ pers./noche (aprox),Saravillo,"1 - 
  30 personas",15 dormitorios,25 camas
3,18€ pers./noche (aprox),Benasque,"2 - 
  6 personas",5 camas,18€ pers./noche (aprox)
4,30€ pers./noche (aprox),Boltaña,"1 - 
  17 personas",6 dormitorios,14 camas
5,23€ pers./noche (aprox),Aínsa,"4 - 
  24 personas",1 dormitorio,15 camas
6,29€ pers./noche (aprox),Escalona,"2 - 
  96 personas",40 dormitorios,69 camas
7,27€ pers./noche (aprox),Aínsa,"1 - 
  24 personas",18 camas,27€ pers./noche (aprox)
8,31€ pers./noche (aprox),Laspuña,"2 - 
  26 personas",7 dormitorios,16 camas
9,16€ pers./noche (aprox),Biescas del Valle de Bardají,"1 - 
  10 personas",4 dormitorios,8 camas
10,19€ pers./noche (aprox),Puyarruego,"2 - 
  8 personas",4 dormitorios,6 camas
11,21€ pers./noche (aprox),Ligüerre de Ara,"2 - 
  15 personas",8 dormitorios,17 camas
12,20€ pers./noche (aprox),Escalona,"2 - 
  10 personas",9 dormitorios,8 camas
13,17€ pers./noche (aprox),Fuendecampo,"6 - 
  18 personas",9 dormitorios,16 camas
14,18€ pers./noche (aprox),El Pueyo de Araguás,Íntegro o habitaciones,"2 - 
  13 personas",6 dormitorios
15,20€ pers./noche (aprox),Graus,"10 - 
  24 personas",12 dormitorios,20 camas
16,17€ pers./noche (aprox),Yésero,"2 - 
  16 personas",2 dormitorios,12 camas
17,26€ pers./noche (aprox),Gavín,36 personas,3 dormitorios,29 camas
18,41€ pers./noche (aprox),Yebra de Basa,"2 - 
  41 personas",13 dormitorios,28 camas
19,26€ pers./noche (aprox),Biescas,21 personas,16 camas,26€ pers./noche (aprox)
20,29€ pers./noche (aprox),Poleñino,"2 - 
  10 personas",4 dormitorios,8 camas
21,20€ pers./noche (aprox),Puyarruego,"6 - 
  12 personas",3 dormitorios,13 camas
22,16€ pers./noche (aprox),Santa Cruz de la Serós,"5 - 
  14 personas",6 dormitorios,11 camas
23,27€ pers./noche (aprox),Borrastre,15 personas,2 dormitorios,15 camas
24,23€ pers./noche (aprox),Javierre de Ara,"1 - 
  15 personas",10 camas,23€ pers./noche (aprox)
25,18€ pers./noche (aprox),Campo,"4 - 
  14 personas",2 dormitorios,10 camas
26,27€ pers./noche (aprox),Ara,"1 - 
  4 personas",2 dormitorios,3 camas
27,17€ pers./noche (aprox),Morillo de Monclús,"1 - 
  8 personas",2 dormitorios,6 camas
28,29€ pers./noche (aprox),Satué,"1 - 
  16 personas",5 dormitorios,10 camas
29,17€ pers./noche (aprox),Oncins,"1 - 
  12 personas",4 dormitorios,8 camas
30,25€ pers./noche (aprox),Tolva,"2 - 
  20 personas",14 dormitorios,16 camas
31,22€ pers./noche (aprox),Estallo,"2 - 
  5 personas",3 dormitorios,5 camas
32,25€ pers./noche (aprox),Jaca,"1 - 
  16 personas",6 dormitorios,16 camas
33,22€ pers./noche (aprox),Escuer,"4 - 
  14 personas",10 dormitorios,13 camas
34,33€ pers./noche (aprox),Santa Eulalia la Mayor,"5 - 
  7 personas",4 dormitorios,5 camas
35,23€ pers./noche (aprox),Biscarrués,8 personas,4 dormitorios,6 camas
36,21€ pers./noche (aprox),Abiego,"4 - 
  10 personas",4 dormitorios,9 camas
37,24€ pers./noche (aprox),Montanuy,"4 - 
  14 personas",5 dormitorios,10 camas
38,27€ pers./noche (aprox),Bonansa,Íntegro o habitaciones,"4 - 
  11 personas",3 dormitorios
39,34€ pers./noche (aprox),Jaca,"2 - 
  13 personas",8 dormitorios,10 camas
40,18€ pers./noche (aprox),Campo,"2 - 
  20 personas",10 dormitorios,16 camas
41,18€ pers./noche (aprox),Samper,"2 - 
  12 personas",6 dormitorios,10 camas
42,20€ pers./noche (aprox),Foradada del Toscar,"3 - 
  21 personas",8 dormitorios,17 camas
43,18€ pers./noche (aprox),Morillo de Monclús,"6 - 
  8 personas",4 dormitorios,6 camas
44,23€ pers./noche (aprox),Laspuña,10 personas,6 dormitorios,10 camas
45,24€ pers./noche (aprox),Aluján,"4 - 
  23 personas",18 camas,24€ pers./noche (aprox)
46,30€ pers./noche (aprox),Barbastro,"2 - 
  20 personas",7 dormitorios,16 camas
47,19€ pers./noche (aprox),Guasa,6 personas,3 dormitorios,5 camas
48,30€ pers./noche (aprox),Aínsa,"2 - 
  8 personas",3 dormitorios,6 camas
49,17€ pers./noche (aprox),San Felices de Ara,"2 - 
  9 personas",3 dormitorios,7 camas
50,21€ pers./noche (aprox),Jaca,"13 - 
  19 personas",6 dormitorios,14 camas
51,23€ pers./noche (aprox),Ligüerre de Ara,Íntegro o habitaciones,"2 - 
  16 personas",7 dormitorios
52,17€ pers./noche (aprox),Isábena,"4 - 
  30 personas",11 dormitorios,28 camas
53,19€ pers./noche (aprox),Javierregay,"1 - 
  6 personas",6 dormitorios,6 camas
54,20€ pers./noche (aprox),Ayerbe,12 personas,6 dormitorios,9 camas
55,18€ pers./noche (aprox),Nerín,"2 - 
  8 personas",2 dormitorios,6 camas
56,25€ pers./noche (aprox),Tolva,Íntegro o habitaciones,"10 - 
  28 personas",5 dormitorios
57,13€ pers./noche (aprox),Bielsa,"2 - 
  10 personas",3 dormitorios,7 camas
58,18€ pers./noche (aprox),La Puebla de Castro,"2 - 
  7 personas",3 dormitorios,5 camas
59,28€ pers./noche (aprox),Sahún,"2 - 
  44 personas",3 dormitorios,34 camas
60,17€ pers./noche (aprox),Borau,"2 - 
  10 personas",4 dormitorios,7 camas
61,27€ pers./noche (aprox),Gerbe,"1 - 
  13 personas",6 dormitorios,10 camas
62,16€ pers./noche (aprox),Torla,"2 - 
  5 personas",2 dormitorios,4 camas
63,21€ pers./noche (aprox),Fanlo,6 personas,4 dormitorios,4 camas
64,16€ pers./noche (aprox),Estallo,7 personas,3 dormitorios,6 camas
